,Turbine Locations,,
Turbine#,x_rotated,y_rotated,z
0,19678.4069,7386.65328,0
1,17497.014,11177.4238,0
2,22045.8782,6393.54067,0
3,19039.2543,10213.554,0
4,18326.2961,11129.1813,0
5,16881.7469,9169.15472,0
6,17580.4701,6115.94876,0
7,17872.2194,11062.4903,0
8,18164.6694,9130.29568,0
9,18574.0937,9127.64773,0
10,20083.7241,8315.22917,0
11,19752.3673,5772.08239,0
12,16777.0255,6187.76845,0
35,21250.3458,6459.71577,0
14,21634.2072,6433.54936,0
15,18001.2264,6000.8029,0
16,18494.729,7861.15589,0
17,18756.5162,6054.18964,0
18,16312.3939,11254.341,0
19,18748.5901,11097.5964,0
20,17302.5127,9190.66735,0
21,17572.4789,7900.28096,0
22,20516.3885,8273.21576,0
23,22108.1773,7922.06922,0
24,19298.7103,7771.21078,0
25,18360.3019,6128.51901,0
26,18899.3487,7858.42114,0
27,17117.6019,11119.0441,0
28,16712.479,11189.8652,0
29,19179.7394,5973.74129,0
30,17192.4595,6161.27584,0
31,20948.6357,8213.79101,0
32,18077.2828,7847.91209,0
33,19478.6207,10218.0595,0
34,17740.5283,9166.37429,0